country,danceability,energy,valence,tempo
IN,0.589,0.885,0.831,0.226
IN,0.756,0.664,0.675,0.253
IN,0.717,0.64,0.485,0.301
IN,0.567,0.54,0.331,0.232
IN,0.631,0.631,0.697,0.221
IN,0.702,0.86,0.829,0.382
IN,0.765,0.642,0.822,0.533
IN,0.535,0.765,0.373,0.765
IN,0.494,0.899,0.559,0.167
IN,0.476,0.124,0.19,0.244
IN,0.742,0.572,0.644,0.211
MX,0.722,0.74,0.893,0.449
MX,0.69,0.482,0.356,0.275
MX,0.786,0.786,0.611,0.275
MX,0.924,0.668,0.787,0.424
MX,0.732,0.873,0.662,0.424
MX,0.782,0.539,0.939,0.393
MX,0.798,0.797,0.51,0.242
MX,0.753,0.662,0.638,0.365
MX,0.715,0.764,0.735,0.409
MX,0.792,0.516,0.916,0.322
MX,0.669,0.583,0.271,0.356
MX,0.698,0.891,0.696,0.403
MX,0.911,0.761,0.948,0.408
MX,0.808,0.944,0.937,0.408
MX,0.583,0.774,0.685,0.38
MX,0.707,0.683,0.545,0.248
MX,0.69,0.502,0.747,0.563
MX,0.896,0.754,0.922,0.328
MX,0.763,0.626,0.78,0.275
MX,0.774,0.86,0.446,0.275
MX,0.728,0.589,0.767,0.154
MX,0.694,0.472,0.571,0.35
MX,0.675,0.725,0.469,0.234
MX,0.909,0.762,0.843,0.285
MX,0.497,0.644,0.779,0.609
MX,0.76,0.747,0.884,0.429
MX,0.717,0.502,0.424,0.702
MX,0.831,0.643,0.57,0.259
MX,0.801,0.748,0.837,0.365
MX,0.702,0.836,0.63,0.37
MX,0.618,0.662,0.426,0.542
MX,0.841,0.738,0.484,0.648
MX,0.536,0.396,0.491,0.583
MX,0.82,0.612,0.798,0.455
MX,0.689,0.577,0.382,0.595
MX,0.794,0.5,0.659,0.274
MX,0.684,0.509,0.796,0.27
MX,0.751,0.819,0.697,0.445
MX,0.841,0.774,0.494,0.248
MX,0.747,0.507,0.438,0.301
MX,0.726,0.808,0.814,0.434
MX,0.701,0.564,0.683,0.51
MX,0.616,0.834,0.746,0.551
MX,0.664,0.769,0.542,0.461
MX,0.76,0.711,0.798,0.425
MX,0.761,0.658,0.895,0.408
MX,0.793,0.476,0.578,0.435
MX,0.834,0.763,0.633,0.461
MX,0.723,0.755,0.804,0.477
MX,0.716,0.536,0.359,0.261
MX,0.743,0.544,0.637,0.248
MX,0.521,0.592,0.535,0.584
MX,0.783,0.685,0.54,0.312
MX,0.699,0.654,0.319,0.275
MX,0.913,0.725,0.816,0.28
MX,0.911,0.778,0.345,0.253
MX,0.626,0.708,0.883,0.639
MX,0.588,0.452,0.734,0.488
MX,0.66,0.756,0.838,0.36
MX,0.664,0.421,0.674,0.505
MX,0.819,0.675,0.602,0.237
MX,0.725,0.709,0.648,0.274
MX,0.758,0.525,0.976,0.261
MX,0.571,0.567,0.967,0.623
MX,0.826,0.596,0.869,0.424
MX,0.575,0.679,0.601,0.317
MX,0.835,0.679,0.85,0.408
MX,0.646,0.736,0.873,0.489
MX,0.717,0.837,0.919,0.434
MX,0.774,0.736,0.685,0.466
MX,0.845,0.731,0.615,0.381
MX,0.634,0.725,0.795,0.594
MX,0.714,0.537,0.375,0.402
MX,0.766,0.9,0.807,0.403
MX,0.83,0.785,0.972,0.232
MX,0.937,0.577,0.458,0.253
MX,0.717,0.704,0.717,0.445
MX,0.725,0.801,0.642,0.462
MX,0.778,0.835,0.666,0.489
MX,0.724,0.886,0.827,0.371
MX,0.912,0.7,0.535,0.312
MX,0.717,0.656,0.695,0.68
MX,0.715,0.846,0.909,0.25
MX,0.735,0.502,0.947,0.354
MX,0.811,0.614,0.662,0.424
MX,0.812,0.479,0.559,0.648
MX,0.737,0.726,0.887,0.424
MX,0.732,0.573,0.882,0.261
MX,0.786,0.854,0.522,0.371
MX,0.639,0.676,0.852,0.702
MX,0.661,0.808,0.7,0.514
MX,0.669,0.586,0.579,0.312
MX,0.778,0.864,0.961,0.436
MX,0.857,0.705,0.874,0.301
MX,0.807,0.665,0.864,0.424
MX,0.553,0.48,0.456,0.664
MX,0.793,0.761,0.635,0.408
MX,0.561,0.643,0.842,0.509
MX,0.869,0.694,0.511,0.221
MX,0.764,0.668,0.548,0.531
NG,0.502,0.634,0.645,0.284
NG,0.869,0.64,0.535,0.344
NG,0.455,0.812,0.823,0.275
NG,0.754,0.841,0.838,0.531
NG,0.726,0.819,0.636,0.329
NG,0.784,0.512,0.842,0.365
NG,0.49,0.651,0.567,0.103
NG,0.503,0.919,0.746,0.424
NG,0.562,0.903,0.313,0.349
NG,0.774,0.847,0.891,0.391
NG,0.707,0.711,0.7,0.349
NG,0.533,0.425,0.464,0.173
NG,0.763,0.754,0.592,0.355
NG,0.668,0.766,0.573,1.0
NG,0.743,0.685,0.555,0.563
NG,0.537,0.424,0.455,0.277
NG,0.534,0.691,0.343,0.829
NG,0.822,0.897,0.698,0.355
NG,0.755,0.675,0.783,0.339
NG,0.821,0.619,0.388,0.36
NG,0.769,0.661,0.843,0.421
NG,0.8,0.898,0.67,0.354
NG,0.72,0.744,0.373,0.323
NG,0.718,0.897,0.912,0.398
NG,0.764,0.804,0.331,0.355
NG,0.786,0.757,0.879,0.328
NG,0.78,0.714,0.426,0.403
NG,0.732,0.747,0.506,0.371
NG,0.554,0.685,0.432,0.799
NG,0.621,0.59,0.421,0.345
NG,0.793,0.556,0.49,0.339
